"","Date","BTC","LTC","XRP","DOGE","XLM","ETH","TRX","ADA","SOL","DOT"
"1247",2024-05-31,67489.6117770498,83.238517615,0.51780002,0.1591357943,0.1063626532,3760.0266864262,0.1120733533,0.4474612362,165.6377103351,6.9871474732
"1248",2024-06-01,67706.9373135869,83.4340138508,0.5183129725,0.1602001027,0.1063184806,3813.1988663448,0.1124783132,0.4499746478,166.0306756959,7.0586122851
"1249",2024-06-02,67751.6025754618,83.0537578608,0.5134816466,0.157200539,0.1051979284,3780.8958883416,0.1147220526,0.4464940812,163.2499076498,6.9890395971
"1250",2024-06-03,68804.7800851881,82.798360291,0.5200997619,0.1582823961,0.1053266127,3766.389156937,0.1134336017,0.4570363714,164.9234645191,7.0102488597
"1251",2024-06-04,70567.7689044147,83.655458909,0.5257645507,0.1614496911,0.1064287371,3812.5159093596,0.1144730752,0.4614845508,171.8019205191,7.1874050704
"1252",2024-06-05,71082.8227040099,85.4131307541,0.5257105117,0.1632354353,0.106971947,3864.26094797,0.11463625,0.4611748839,173.4829153707,7.2487280593
"1253",2024-06-06,70757.1658518634,84.1811226727,0.5215782205,0.1601590858,0.1052820028,3811.6058513145,0.1147480139,0.4581024543,170.0162241931,7.1420138985
"1254",2024-06-07,69342.5867361146,80.0886870514,0.4989511102,0.148303395,0.1002607392,3678.6291223463,0.112710711,0.4496427223,162.5070418192,6.6577667359
"1255",2024-06-08,69305.7743187653,79.9941002075,0.4931453158,0.1460586649,0.0982740519,3680.9498987428,0.1147560901,0.4365709238,157.9689084524,6.3884239694
"1256",2024-06-09,69647.9930028748,80.5100031326,0.4985828045,0.1467740649,0.0998149094,3705.903804425,0.1168816327,0.4441064547,162.0835975651,6.5227627632
"1257",2024-06-10,69512.2802780003,79.6023229016,0.4966278548,0.1447397633,0.0999690084,3666.7175217484,0.1176076583,0.4404612148,158.9280300351,6.5074469016
"1258",2024-06-11,67332.0304641765,77.2819554065,0.480319606,0.1381041336,0.0967485528,3498.3305497967,0.1165338653,0.4218910884,149.4289932692,6.3798965951
"1259",2024-06-12,68241.1840753497,78.4694135781,0.4915400184,0.1461957474,0.1001093812,3559.6176452473,0.1164500774,0.4377962506,155.1775713526,6.7417172904
"1260",2024-06-13,66756.3970935791,79.1432392557,0.4770045593,0.141059681,0.0974809473,3469.2812508702,0.1168746729,0.4211848731,147.3144174591,6.3600718316
"1261",2024-06-14,66011.0937273263,77.5423748029,0.4742750168,0.1349695812,0.0967743551,3480.2719181115,0.1164122223,0.4116825899,143.0944439206,6.1627606013
"1262",2024-06-15,66191.0004703788,79.1964225915,0.490690689,0.1365655185,0.0982374766,3565.5495056541,0.1152472388,0.4136945482,145.4122127329,6.2210127454
"1263",2024-06-16,66639.0465356994,78.9059397954,0.4888320775,0.1369365853,0.0989952954,3620.5634464932,0.1172451408,0.4163789195,151.1255055499,6.3880681319
"1264",2024-06-17,66490.2941752674,76.6260938096,0.5051598104,0.1288887129,0.0969121593,3511.379017106,0.1168047504,0.4017575716,143.3342740078,6.0739148224
"1265",2024-06-18,65140.7445894597,72.6164593235,0.490948453,0.1222961181,0.0913716853,3483.6813541597,0.1153865611,0.3835803835,137.5040020493,5.775650792
"1266",2024-06-19,64960.2953009057,73.7035153941,0.4932414223,0.1223408291,0.0933048239,3559.3473095853,0.1157896836,0.3837913785,135.6095991661,5.7942119242
"1267",2024-06-20,64828.6558115702,74.7087650163,0.488716105,0.1244189857,0.0939134354,3511.0869233634,0.1167069672,0.3842436129,133.4729589257,5.6407694645
"1268",2024-06-21,64096.1981877808,74.114369297,0.488955573,0.1240291647,0.0920312225,3516.0755619859,0.1182653482,0.3760519235,134.5882978678,5.6110621096
"1269",2024-06-22,64252.5787467441,74.549248529,0.4866205105,0.1237887976,0.0908407995,3494.8133879808,0.1196028919,0.3848117215,133.6702445713,5.7478698901
"1270",2024-06-23,63180.7982064002,73.3801275604,0.4794885888,0.1222565834,0.0895465434,3418.6118772591,0.1191596783,0.3803033029,128.5904268043,5.6448917771
"1271",2024-06-24,60277.4146563769,69.6898187394,0.4741426366,0.1190427297,0.0892355307,3350.25635103,0.1190239734,0.3777648136,132.2413922983,5.7246853978
"1272",2024-06-25,61804.6411680707,71.3648642912,0.4756854679,0.1261528572,0.0918382394,3395.029004864,0.1218642677,0.3918588941,136.5591975573,5.8424953878
"1273",2024-06-26,60811.2784501874,70.9636031514,0.4696004274,0.1226792229,0.0901388891,3369.4772002383,0.1224970696,0.3847502949,136.6091530527,5.7932772044
"1274",2024-06-27,61604.801764073,73.1235415367,0.474654919,0.1269114502,0.0913752746,3444.8005378863,0.1218527332,0.3907012584,149.4483747681,6.2814439217
"1275",2024-06-28,60320.1355264783,72.7651356892,0.4708853073,0.1227893734,0.0909152796,3373.6359398066,0.1229726823,0.3854261388,139.7034025374,6.1746009898
"1276",2024-06-29,60887.3808347422,74.9238244245,0.4719939846,0.1216985288,0.090013662,3372.9678619929,0.1253378496,0.3839654748,140.0101495169,6.0723397159
"1277",2024-06-30,62678.292079457,75.2800016038,0.4754826521,0.1243049293,0.0910883743,3432.8890895755,0.1245265387,0.3921916801,146.4924977253,6.208573494
"1278",2024-07-01,62851.9800679276,74.3402485967,0.4766414262,0.1234417065,0.0914509885,3440.3416247238,0.1276973987,0.4029072034,146.5950647859,6.330220607
"1279",2024-07-02,62029.0168101831,75.8639100477,0.484519993,0.1250164489,0.0935059674,3416.3547278949,0.1289831946,0.4177752153,153.7004815904,6.514821352
"1280",2024-07-03,60173.9235814982,72.075052171,0.4667603375,0.118471025,0.0903190997,3292.9167872079,0.1285583788,0.4067378575,140.7314159023,6.0693325239
"1281",2024-07-04,56977.7014590912,65.3156959165,0.4335735006,0.1048867845,0.0871325033,3054.521964485,0.1271955361,0.36285856,127.5508228695,5.5590637778
"1282",2024-07-05,56662.3732744795,61.8872557544,0.4254920406,0.105594131,0.0855224034,2981.5986963517,0.1269012963,0.3498851844,134.36934265,5.6657410556
"1283",2024-07-06,58303.5385809166,65.4302879102,0.4490532186,0.1136147201,0.0905715514,3069.3779282848,0.1299287923,0.3712214709,143.2411728827,6.2414757056
"1284",2024-07-07,55849.1106386094,62.0622546159,0.4198230598,0.1042315087,0.0838901601,2929.3872316715,0.1246668282,0.3466183361,131.7740977167,5.9062626158
"1285",2024-07-08,56705.0984270702,64.8693292381,0.4314800519,0.1075811067,0.085495722,3018.7320323162,0.1261834187,0.3690069526,139.4637043215,5.9447549189
"1286",2024-07-09,58009.2263162293,65.3168638715,0.4359162054,0.1075132966,0.0879545999,3064.0328836456,0.129939624,0.3753283631,141.3484538686,6.1140800034
"1287",2024-07-10,57742.4946206796,66.9381465195,0.4390378197,0.1080223615,0.0875370197,3102.2187944314,0.1314538572,0.3888348541,141.974797594,6.0988809762
"1288",2024-07-11,57344.914785087,67.4359798785,0.4490410338,0.106666994,0.0887750649,3100.3307531137,0.1343903707,0.3958169501,135.8832262687,5.9048926204
"1289",2024-07-12,57899.4655171113,69.2757244426,0.4747297194,0.1076845097,0.0913594831,3134.1586628398,0.1372771018,0.4165235322,139.5280131014,6.0992077324
"1290",2024-07-13,59231.9532405648,69.8512559855,0.5263286273,0.1123555907,0.1024441714,3177.1986392641,0.139460414,0.4414151252,141.9249728128,6.2440082894
"1291",2024-07-14,60787.7923701369,69.9668580656,0.5228627843,0.115449351,0.1046491442,3244.0790922444,0.1376885283,0.4323477941,147.6223179184,6.328078089
"1292",2024-07-15,64870.1528151311,72.4558511083,0.5378784964,0.1252281687,0.1048786626,3489.5526866155,0.1374396339,0.445582306,159.9339702596,6.4985569012
"1293",2024-07-16,65097.1468308443,73.2014502959,0.579375743,0.1249310271,0.1069276226,3443.5135017873,0.1340716491,0.4381886833,160.5518767303,6.3442228447
"1294",2024-07-17,64118.7926694255,71.4204483124,0.6264856906,0.1218841176,0.1099407173,3388.7523731072,0.13357024,0.4367477204,155.5840999036,6.2598605811
"1295",2024-07-18,63974.0666841082,71.6102321351,0.5695740245,0.1194960586,0.1032006163,3426.2585906447,0.1344458308,0.4239056354,159.0724217568,6.093573106
"1296",2024-07-19,66710.1543130458,73.456706507,0.573752339,0.1254804116,0.1053806753,3505.7348409679,0.1347650636,0.4390336062,169.1858732371,6.3461349013
"1297",2024-07-20,67163.6449237129,73.0734940842,0.5946514381,0.134430388,0.1053258812,3519.2953440842,0.1347392199,0.4376365837,173.8917905003,6.337130219
"1298",2024-07-21,68154.522905866,73.9885227687,0.5974669768,0.1401690139,0.1053088784,3536.6054396998,0.1343474335,0.4460774058,184.5416091616,6.4197424829
"1299",2024-07-22,67585.2499720905,71.3079392479,0.6076370746,0.1378814223,0.1034927833,3440.419892469,0.1323943852,0.4265472428,178.9782855361,6.1071285593
"1300",2024-07-23,65927.6723614031,72.9301565695,0.5974570509,0.1303911265,0.1009952771,3481.9959539767,0.1341147782,0.4100966252,172.7575696471,5.9188700436
"1301",2024-07-24,65372.1332336736,71.2475204234,0.618843467,0.1280880898,0.1029500195,3336.3394237401,0.134370342,0.4068471994,178.032298444,5.7483846189
"1302",2024-07-25,65777.2239400202,68.8547617377,0.5998161707,0.1252208332,0.1022073253,3174.4273153636,0.1354584822,0.3946712302,171.9630805285,5.7539992345
"1303",2024-07-26,67912.06309622,71.3331075948,0.6040681731,0.1343180198,0.1031615285,3275.9514243808,0.1375643474,0.4177466502,183.1367135205,5.8700216478
"1304",2024-07-27,67813.3394163313,71.3629405789,0.5967951042,0.1315919578,0.101532639,3247.6079817268,0.1372579329,0.4181977389,184.0854045531,5.8310840903
"1305",2024-07-28,68255.8657690205,71.1284439645,0.6019465912,0.1300748453,0.1002430745,3271.4646364709,0.1386698223,0.4073870857,184.8860789446,5.7214258153
"1306",2024-07-29,66819.9161863636,73.7494826758,0.6020861597,0.1286735006,0.0991873454,3320.5392099336,0.1376128665,0.4040138763,182.7806005522,5.6540666862
"1307",2024-07-30,66201.0162264011,71.6852022164,0.6278774507,0.1255948257,0.1024904388,3278.6677928161,0.1329642295,0.4016796398,179.1071945065,5.522172069
"1308",2024-07-31,64619.2496492185,70.1904235207,0.6239389397,0.1220137158,0.1006424125,3231.2957066884,0.1288025359,0.3887727183,171.8261566522,5.38532986
"1309",2024-08-01,65357.5015625505,69.5661689655,0.5964638842,0.1192356242,0.0993424966,3201.5644469308,0.1281668105,0.3927057571,167.672121261,5.3429493823
"1310",2024-08-02,61415.0645726852,64.9911233666,0.5607705616,0.1115081683,0.0955100318,2986.0131528012,0.1233749453,0.3638222749,152.6382267338,5.1221999083
"1311",2024-08-03,60680.0946987796,64.6042252715,0.5563914002,0.1081692245,0.0934121485,2903.3857025544,0.1253064806,0.3640945399,142.9220023175,5.0436658954
"1312",2024-08-04,58116.9769610403,62.396122925,0.5233964074,0.1037333027,0.0881898831,2686.3988610452,0.1262749583,0.343937541,138.0550835419,4.6838420245
"1313",2024-08-05,53991.4577965042,56.2133785962,0.489465843,0.0945025019,0.0880846811,2417.2061842115,0.1215964167,0.3131554232,129.8642995638,4.2082751938
"1314",2024-08-06,56034.3165914605,58.2633622652,0.5056968401,0.0963706518,0.0924643749,2458.7238702336,0.1235343814,0.330782248,144.0903684697,4.5069319339
"1315",2024-08-07,55027.4606917867,55.9839105795,0.6008097764,0.0955147317,0.1013954958,2336.5893752638,0.124792557,0.3236982619,144.6320997507,4.5706629162
"1316",2024-08-08,61710.1375644501,61.2235543513,0.61757735,0.1074044797,0.1031010794,2683.3527980054,0.1271226081,0.3518137602,162.9307453227,4.8808834424
"1317",2024-08-09,60880.1122032153,60.7428675627,0.5811532129,0.1039736944,0.0999906448,2599.5985844241,0.128261961,0.3485470645,156.457221355,4.7876706356
"1318",2024-08-10,60945.8131361053,61.1748545927,0.585579424,0.105201943,0.1013245403,2610.0228477264,0.1291495036,0.3462890679,153.9591659966,4.7560717628
"1319",2024-08-11,58719.483169327,59.7069827207,0.5529324544,0.1005664545,0.0978836584,2553.252240415,0.1277451601,0.3283220959,141.5268529939,4.4963218779
